<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.01	03:15:00	23962.89	23998.89	23962.89	23993.49	204	0	180
2025.08.01	03:20:00	23992.49	23992.49	23962.09	23967.89	91	0	180
2025.08.01	03:25:00	23966.89	23966.89	23824.39	23909.89	391	0	180
2025.08.01	03:30:00	23908.49	23945.49	23901.49	23943.49	128	0	180
2025.08.01	03:35:00	23941.09	23953.89	23934.39	23953.89	113	0	180
2025.08.01	03:40:00	23951.49	23977.89	23944.49	23972.89	127	0	180
2025.08.01	03:45:00	23970.49	23971.89	23952.49	23958.09	107	0	180
2025.08.01	03:50:00	23957.49	23975.89	23948.49	23967.39	99	0	180
2025.08.01	03:55:00	23969.09	23984.49	23969.09	23979.49	80	0	180
2025.08.01	04:00:00	23978.49	23993.49	23973.09	23981.89	99	0	180
2025.08.01	04:05:00	23980.09	23987.89	23974.49	23985.09	98	0	180
2025.08.01	04:10:00	23986.09	23996.09	23976.89	23991.09	120	0	180
2025.08.01	04:15:00	23997.89	23998.09	23985.89	23996.09	117	0	180
2025.08.01	04:20:00	23998.09	24011.09	23990.39	24009.49	69	0	180
2025.08.01	04:25:00	24011.09	24029.49	24011.09	24023.39	62	0	180
2025.08.01	04:30:00	24024.39	24030.89	24010.49	24020.39	57	0	180
2025.08.01	04:35:00	24020.39	24031.89	24016.09	24024.09	53	0	180
2025.08.01	04:40:00	24023.09	24031.49	24023.09	24029.09	59	0	180
2025.08.01	04:45:00	24028.09	24031.09	24020.39	24020.39	42	0	260
2025.08.01	04:50:00	24019.39	24022.89	24018.49	24020.09	46	0	180
2025.08.01	04:55:00	24021.09	24023.89	24011.49	24015.89	70	0	180
2025.08.01	05:00:00	24016.89	24020.09	24005.09	24005.09	49	0	180
2025.08.01	05:05:00	24006.49	24011.09	24000.09	24002.09	51	0	260
2025.08.01	05:10:00	24003.49	24017.09	24002.09	24016.09	24	0	260
2025.08.01	05:15:00	24015.09	24019.49	24011.89	24017.49	42	0	180
2025.08.01	05:20:00	24016.89	24019.49	24003.89	24003.89	57	0	180
