<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.01	00:00:00	150.708	150.709	150.646	150.706	13	0	79
2025.08.01	00:05:00	150.706	150.706	150.701	150.705	30	0	79
2025.08.01	00:10:00	150.705	150.706	150.697	150.697	51	0	79
2025.08.01	00:15:00	150.697	150.701	150.696	150.697	39	0	79
2025.08.01	00:20:00	150.697	150.714	150.678	150.704	60	0	79
2025.08.01	00:25:00	150.704	150.713	150.695	150.695	59	0	79
2025.08.01	00:30:00	150.697	150.697	150.683	150.684	47	0	79
2025.08.01	00:35:00	150.684	150.685	150.668	150.674	44	0	79
2025.08.01	00:40:00	150.674	150.681	150.657	150.665	37	0	79
2025.08.01	00:45:00	150.665	150.666	150.644	150.656	45	0	79
2025.08.01	00:50:00	150.656	150.656	150.645	150.647	22	0	79
2025.08.01	00:55:00	150.647	150.664	150.644	150.663	59	0	79
2025.08.01	01:00:00	150.670	150.756	150.664	150.735	202	0	13
2025.08.01	01:05:00	150.735	150.786	150.735	150.775	180	0	13
2025.08.01	01:10:00	150.775	150.779	150.745	150.754	164	0	13
2025.08.01	01:15:00	150.754	150.795	150.736	150.740	139	0	13
2025.08.01	01:20:00	150.739	150.748	150.689	150.728	133	0	13
2025.08.01	01:25:00	150.728	150.750	150.726	150.741	84	0	13
2025.08.01	01:30:00	150.741	150.753	150.707	150.712	111	0	13
2025.08.01	01:35:00	150.712	150.734	150.688	150.691	145	0	13
2025.08.01	01:40:00	150.691	150.740	150.680	150.683	123	0	15
2025.08.01	01:45:00	150.683	150.708	150.683	150.704	72	0	13
2025.08.01	01:50:00	150.704	150.745	150.697	150.726	111	0	13
2025.08.01	01:55:00	150.726	150.739	150.698	150.733	263	0	13
2025.08.01	02:00:00	150.733	150.747	150.667	150.746	317	0	21
2025.08.01	02:05:00	150.746	150.770	150.648	150.652	199	0	18
2025.08.01	02:10:00	150.652	150.701	150.631	150.699	270	0	15
2025.08.01	02:15:00	150.699	150.798	150.698	150.798	248	0	13
2025.08.01	02:20:00	150.798	150.875	150.798	150.826	233	0	13
2025.08.01	02:25:00	150.826	150.831	150.718	150.728	175	0	13
2025.08.01	02:30:00	150.731	150.810	150.731	150.768	205	0	13
2025.08.01	02:35:00	150.768	150.796	150.761	150.783	157	0	13
2025.08.01	02:40:00	150.783	150.786	150.717	150.725	188	0	13
2025.08.01	02:45:00	150.725	150.761	150.694	150.711	259	0	15
2025.08.01	02:50:00	150.711	150.781	150.711	150.775	263	0	16
2025.08.01	02:55:00	150.775	150.809	150.739	150.806	218	0	13
2025.08.01	03:00:00	150.802	150.883	150.799	150.877	539	0	13
2025.08.01	03:05:00	150.877	150.887	150.779	150.860	416	0	13
2025.08.01	03:10:00	150.860	150.883	150.789	150.794	434	0	17
2025.08.01	03:15:00	150.794	150.819	150.735	150.760	463	0	13
2025.08.01	03:20:00	150.760	150.774	150.668	150.685	516	0	13
2025.08.01	03:25:00	150.685	150.716	150.614	150.634	592	0	13
2025.08.01	03:30:00	150.634	150.691	150.621	150.687	379	0	13
2025.08.01	03:35:00	150.687	150.691	150.623	150.667	315	0	13
2025.08.01	03:40:00	150.667	150.671	150.603	150.622	369	0	13
2025.08.01	03:45:00	150.622	150.639	150.587	150.624	380	0	13
2025.08.01	03:50:00	150.623	150.707	150.589	150.691	596	0	13
2025.08.01	03:55:00	150.691	150.737	150.690	150.730	397	0	13
2025.08.01	04:00:00	150.730	150.880	150.716	150.880	503	0	13
2025.08.01	04:05:00	150.880	150.889	150.812	150.823	431	0	15
2025.08.01	04:10:00	150.823	150.824	150.701	150.716	429	0	13
2025.08.01	04:15:00	150.716	150.720	150.652	150.697	442	0	13
2025.08.01	04:20:00	150.699	150.758	150.689	150.726	353	0	13
2025.08.01	04:25:00	150.726	150.764	150.648	150.648	297	0	13
2025.08.01	04:30:00	150.648	150.754	150.625	150.736	403	0	13
2025.08.01	04:35:00	150.734	150.781	150.720	150.765	332	0	13
2025.08.01	04:40:00	150.765	150.909	150.764	150.875	514	0	13
2025.08.01	04:45:00	150.875	150.911	150.830	150.867	469	0	13
2025.08.01	04:50:00	150.867	150.905	150.839	150.890	596	0	13
2025.08.01	04:55:00	150.890	150.910	150.848	150.900	412	0	13
2025.08.01	05:00:00	150.899	150.907	150.782	150.831	464	0	13
2025.08.01	05:05:00	150.831	150.845	150.742	150.777	378	0	13
2025.08.01	05:10:00	150.777	150.805	150.764	150.775	310	0	13
2025.08.01	05:15:00	150.775	150.815	150.771	150.811	266	0	13
2025.08.01	05:20:00	150.811	150.851	150.778	150.808	301	0	13
2025.08.01	05:25:00	150.808	150.828	150.750	150.753	294	0	13
2025.08.01	05:30:00	150.753	150.756	150.699	150.748	450	0	13
2025.08.01	05:35:00	150.748	150.765	150.707	150.744	388	0	13
2025.08.01	05:40:00	150.744	150.760	150.707	150.735	270	0	13
2025.08.01	05:45:00	150.735	150.783	150.735	150.763	205	0	13
2025.08.01	05:50:00	150.763	150.773	150.738	150.755	235	0	13
2025.08.01	05:55:00	150.755	150.780	150.746	150.759	216	0	13
2025.08.01	06:00:00	150.759	150.773	150.706	150.707	227	0	13
2025.08.01	06:05:00	150.707	150.722	150.636	150.677	334	0	13
2025.08.01	06:10:00	150.677	150.684	150.637	150.639	260	0	13
2025.08.01	06:15:00	150.640	150.665	150.634	150.649	265	0	13
2025.08.01	06:20:00	150.649	150.688	150.646	150.671	208	0	13
2025.08.01	06:25:00	150.671	150.675	150.648	150.659	162	0	13
2025.08.01	06:30:00	150.659	150.669	150.636	150.656	220	0	13
2025.08.01	06:35:00	150.656	150.674	150.628	150.630	225	0	13
2025.08.01	06:40:00	150.630	150.636	150.602	150.624	221	0	13
2025.08.01	06:45:00	150.616	150.627	150.556	150.575	328	0	13
2025.08.01	06:50:00	150.575	150.585	150.548	150.581	289	0	13
2025.08.01	06:55:00	150.578	150.596	150.576	150.582	258	0	13
2025.08.01	07:00:00	150.580	150.582	150.547	150.577	309	0	13
2025.08.01	07:05:00	150.579	150.606	150.578	150.592	242	0	13
